date, pm25, pm10, o3, no2, so2
10/11/2020,45,18,7,21, 
11/11/2020,32,15,9,24, 
12/11/2020,28,14,23,16, 
13/11/2020,36,30,12,21,1
14/11/2020,138, ,20,10, 
15/11/2020, ,26,21,9, 
16/11/2020, ,22,7,22, 
17/11/2020,60,25,14,18, 
18/11/2020,60,27,7,14, 
19/11/2020,64,25,14,15,1
20/11/2020,50,25,21,14,1
21/11/2020,60, , , , 
23/11/2020, ,26,11,30,1
24/11/2020,59,32,28,22, 
25/11/2020,80,6,22,17, 
26/11/2020,20,8,22,12, 
27/11/2020,20,11,18,15, 
28/11/2020,23, ,21,18, 
29/11/2020, ,9,25,11, 
30/11/2020,26,10,15,12, 
01/12/2020,30,11,17,14, 
02/12/2020,20,23,18,24, 
03/12/2020,60,14,26,18, 
04/12/2020,34,9,28,10, 
05/12/2020,20,10,25,9, 
06/12/2020,29,14,19,16, 
07/12/2020,30,12,28,12, 
08/12/2020,27, ,31,4, 
09/12/2020, ,15,15,25, 
10/12/2020,44,12,23,16,3
11/12/2020,24, ,24,12, 
12/12/2020, ,4,22,8, 
13/12/2020,16,4,21,8, 
14/12/2020,16,11,22,24, 
15/12/2020,18,17,22,19, 
16/12/2020,36,11,25,16, 
17/12/2020,24,19,11,28, 
18/12/2020,42,23,21,19, 
19/12/2020,56, , ,3, 
21/12/2020, ,28,6,28, 
22/12/2020,58,20,9,19, 
23/12/2020,52,30, ,20, 
24/12/2020,70,10, ,7, 
25/12/2020,14, , ,4, 
26/12/2020, , , ,9, 
27/12/2020, , , ,25, 
31/12/2020, ,35, ,24,2
01/01/2021,77,9, ,12, 
02/01/2021, , , ,12, 
03/01/2021, ,14,24,15, 
04/01/2021,39,13,8,26, 
05/01/2021,49,21,15,19, 
06/01/2021,60,16,17,13, 
07/01/2021,49,10,17,13, 
08/01/2021,41,6,22,9, 
09/01/2021,16,8,30,7, 
10/01/2021,30,4,22,6, 
11/01/2021,19,8,25,18, 
12/01/2021,23,18,13,29, 
13/01/2021,54,38,21,30, 
14/01/2021,86,16,28,10, 
15/01/2021,49,15,29,13, 
16/01/2021,39,18,19,16, 
17/01/2021,59,28,17,20, 
18/01/2021,80,29,12,30,1
19/01/2021,76,40,33,20, 
20/01/2021,99,17,26,12, 
21/01/2021,43,20,27,8, 
22/01/2021,36, ,27,8, 
24/01/2021, ,20,11,14, 
25/01/2021,36,16,19,16, 
26/01/2021,33,7,14,12, 
27/01/2021,26,9,14,14, 
28/01/2021,24,6,6,13, 
29/01/2021,21,12,20,11, 
30/01/2021,37,20,32,3, 
31/01/2021,38,13,21,6, 
01/02/2021,32,13,17,17, 
02/02/2021,19,10,23,11, 
03/02/2021,22,7,23,16, 
04/02/2021,17,6,23,14, 
05/02/2021,23,3,28,7, 
06/02/2021,22,3,31,2, 
